date,latitude,longitude,rainfall,rain_3d,rain_7d,rain_14d,rain_30d,rain_7d_max,elevation,slope,label,terrain_source
2025-05-31,26.25,91.75,84.9,152.97,167.04,223.17,330.77,84.9,2317.8571428571427,26.71875,1,synthetic_fallback
2025-06-06,26.25,91.75,0.21,16.800000000000004,121.46,203.6,356.3,84.9,2317.8571428571427,26.71875,1,synthetic_fallback
2025-06-04,26.25,91.75,2.45,13.580000000000002,175.18,199.16,349.17,84.9,2317.8571428571427,26.71875,1,synthetic_fallback
2025-05-31,26.25,91.75,84.9,152.97,167.04,223.17,330.77,84.9,2317.8571428571427,26.71875,1,synthetic_fallback
2025-11-02,26.25,92.0,3.28,22.040000000000006,22.039999999999985,22.63999999999999,52.129999999999995,13.56,2317.8571428571427,27.5,1,synthetic_fallback
2025-05-31,26.25,91.75,84.9,152.97,167.04,223.17,330.77,84.9,2317.8571428571427,26.71875,1,synthetic_fallback
2025-07-05,26.25,92.0,17.86,36.24,51.379999999999995,140.36999999999998,209.98,17.86,2317.8571428571427,27.5,1,synthetic_fallback
2025-06-05,26.0,92.0,7.9,18.09,137.59,168.04,292.45,64.35,2228.5714285714284,27.5,1,synthetic_fallback
2025-06-05,25.75,93.25,6.34,18.84,125.34,155.81,271.03999999999996,65.2,2139.285714285714,31.40625,1,synthetic_fallback
2025-06-05,25.75,93.0,4.66,18.36,134.57000000000002,170.14,326.12,63.61,2139.285714285714,30.625,1,synthetic_fallback
2025-08-17,28.0,88.0,8.06,12.080000000000014,162.45,254.42000000000002,545.0200000000001,45.45,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-03,28.0,88.0,4.99,16.510000000000016,128.31999999999996,204.35,474.96999999999997,47.14,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-07,28.0,88.0,4.65,25.230000000000015,88.61999999999996,241.7,429.88,21.04,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-31,28.0,88.0,23.2,64.67000000000002,137.54999999999998,221.62,514.03,47.14,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-22,28.0,88.0,13.34,33.24000000000001,60.46999999999997,245.79999999999998,510.30999999999995,14.94,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-13,28.0,88.0,28.29,106.77000000000002,160.57999999999998,262.25,530.92,45.45,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-05,28.0,88.0,14.67,53.290000000000006,112.08999999999996,253.36999999999998,421.59,21.04,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-25,28.0,88.0,8.64,40.63000000000001,82.75999999999998,209.70999999999998,522.52,19.47,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-01,28.0,88.0,10.82,43.070000000000014,139.72999999999996,222.49,507.9,47.14,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-01,28.0,88.0,10.82,43.070000000000014,139.72999999999996,222.49,507.9,47.14,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-03,28.0,88.0,4.99,16.510000000000016,128.31999999999996,204.35,474.96999999999997,47.14,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-07,28.0,88.0,4.65,25.230000000000015,88.61999999999996,241.7,429.88,21.04,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-07,28.0,88.0,21.62,42.000000000000014,71.98999999999998,209.54000000000002,487.33,21.62,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-05,28.0,88.0,14.67,53.290000000000006,112.08999999999996,253.36999999999998,421.59,21.04,2942.8571428571427,15.0,1,synthetic_fallback
2025-08-05,28.0,88.0,14.67,53.290000000000006,112.08999999999996,253.36999999999998,421.59,21.04,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-03,28.0,88.0,4.99,16.510000000000016,128.31999999999996,204.35,474.96999999999997,47.14,2942.8571428571427,15.0,1,synthetic_fallback
2025-09-13,28.0,88.0,11.02,48.500000000000014,159.16999999999996,232.74,443.24,53.11,2942.8571428571427,15.0,1,synthetic_fallback
